Code,Description,Airport Name,Latitude,Longitude
10261,"Algiers, Algeria: Houari Boumediene",Houari Boumediene,36.69111111,3.21527778
10262,"Albany, Australia: Albany Airport",Albany Airport,-34.94444444,117.80888889
10263,"Alice, TX: Alice International",Alice International,27.74083333,-98.02694444
10264,"Alexander Bay, South Africa: Alexander Bay Airport",Alexander Bay Airport,-28.57138889,16.53055556
10265,"Asela, Ethiopia: Asela Airport",Asela Airport,7.58333333,39.06666667
10266,"Alamogordo, NM: Alamogordo White Sands Regional",Alamogordo White Sands Regional,32.83944444,-105.99111111
10267,"Alton, IL: St. Louis Regional",St. Louis Regional,38.89,-90.04611111
10268,"Waterloo, IA: Waterloo Regional",Waterloo Regional,42.55833333,-92.40111111
10269,"Aleppo, Syria: Aleppo International",Aleppo International,36.18055556,37.22444444
10270,"Alegrete, Brazil: Alegrete Airport",Alegrete Airport,-29.79972222,-55.76333333
10271,"Alexandra, New Zealand: Alexandra Airport",Alexandra Airport,-45.21138889,169.37166667
10272,"Alamosa, CO: San Luis Valley Regional/Bergman Field",San Luis Valley Regional/Bergman Field,37.435,-105.86777778
10273,"Alenquer, Brazil: Alenquer Airport",Alenquer Airport,-1.94055556,-54.74027778
10274,"Alula, Somalia: Alula Airport",Alula Airport,11.98333333,50.78333333
10275,"Walla Walla, WA: Walla Walla Regional",Walla Walla Regional,46.0925,-118.28416667
10276,"Alexander City, AL: Thomas C. Russell Field",Thomas C. Russell Field,32.91472222,-85.96305556
10277,"Alexandria, Egypt: Alexandria International",Alexandria International,31.3275,-92.54861111
10278,"Lazy Bay, AK: Alitak Seaplane Base",Alitak Seaplane Base,56.89583333,-154.24583333
10279,"Amarillo, TX: Rick Husband Amarillo International",Rick Husband Amarillo International,35.21944444,-101.70583333
10280,"Ahmedabad, India: Sardar Vallabhbhai Patel International",Sardar Vallabhbhai Patel International,,
10281,"Ama, Papua New Guinea: Ama Airport",Ama Airport,-4.10055556,141.66972222
10282,"Amboin, Papua New Guinea: Amboin Airport",Amboin Airport,-4.6,143.5
10283,"Arba Minch, Ethiopia: Arba Minch Airport",Arba Minch Airport,6.03944444,37.59083333
10284,"Mataram, Indonesia: Selaparang",Selaparang,-8.56055556,116.09472222
10285,"Durango, CO: Animas Air Park",Animas Air Park,37.20305556,-107.86916667
10286,"Puerto Armuelles, Panama: Puerto Armuelles Airport",Puerto Armuelles Airport,8.2675,-82.86472222
10287,"Amman, Jordan: Queen Alia International",Queen Alia International,31.72333333,35.99416667
10288,"Alma, MI: Gratiot Community",Gratiot Community,43.32222222,-84.68805556
10289,"Mao, Chad: Mao Airport",Mao Airport,14.14638889,15.31527778
10290,"Ampanihy, Madagascar: Ampanihy Airport",Ampanihy Airport,-24.69944444,44.73277778
10291,"Ambon, Indonesia: Pattimura",Pattimura,-3.71027778,128.08972222
10292,"Amsterdam, Netherlands: Schiphol",Schiphol,52.30861111,4.76388889
10294,"Ames, IA: Ames Municipal",Ames Municipal,41.99194444,-93.62194444
10295,"Ammaroo, Australia: Ammaroo Station",Ammaroo Station,-21.74,135.24
